EQUIP_ID;EQUIP_NOM;ADRESSE;EQUIP_WEB_LIEN;DOMAINE_NOM;SOUSDOM_NOM;ADRESSE_ID;TELEPHONE;COURRIEL;HORAIRE;DESCRIPTION;INFO_SUPP
968;Square Lustucru;4 BIS Rue Jean Veyrat;;Espaces verts et nature;Squares;12105;;;;;
2443;Espace Enfance Famille Mozart;50 Rue Nicolas Chorier;;Sports et Loisirs;Equipements socioculturels;8551;04 76 21 29 09;;;<p>Centre de loisirs le mercredi après-midi et pendant les vacances scolaires. A<span>teliers destinés aux parents et enfants (entre 0 et 3ans) : éveil corporel, chant, soirée d'échanges sur la parentalité. </span></p>;
122;Le Magasin (Centre National d'Art Contemporain de Grenoble);8 Esplanade Andry-Farcy;www.magasin-cnac.org/;Culture;Musées et centres d'art;19268;04 76 21 95 84;;Ouvert en période d'expositions du mardi au dimanche de 14h à 19h. Plein tarif : 3,5 €. Tarif réduit : 2 €.;<p>Visites commentées pour les particuliers tous les samedis à 16h et les dimanches à 14h30 et 16h, accessible avec le billet d'entrée.<br>Pour les groupes, possibilité de visites le matin sur rendez-vous en téléphonant au 04 76 21 65 25.</p> <p>NOUVEAU : CAFÉ DU MAGASIN : <br>Un espace ouvert  du mardi au dimanche de 14h à 19h.<br>Accessible par la Librairie du MAGASIN. UN SERVICE DE  RESTAURATION LÉGÈRE les samedis et dimanches de 15h à 18h et tous les jeudis à partir de 18h.</p>;
181;Brocante des vieilles rues des Halles;1 Rue Voltaire;;Marchés et Brocantes;Brocantes, braderie et fêtes;11406;04 76 01 80 46;;Fin avril et 3ème dimanche d'octobre.;Brocante dans tout le quartier des antiquaires.;
1661;Consulat honoraire de Slovaquie;1 Rue Hector Berlioz;;Institutions et Services Publics;International;3527;04 76 88 25 43;menyhert.kocsis@gmail.com;;<p><strong>Consul honoraire : Monsieur Menyhert KOCSIS.<br>Le Consulat honoraire de Slovaquie est situé à la Maison de l'international <br>RDC, Accès par le jardin de ville.</strong></p>;
2016;Berlioz Bureau 2;1 Rue Hector Berlioz;;Institutions et Services Publics;Bureaux de vote;3527;;;8h - 20h;;
1388;Maison de l'International;1 Rue Hector Berlioz;www.grenoble.fr;Institutions et Services Publics;Services municipaux;3527;04 76 00 76 89;mi@ville-grenoble.fr;Accueil du public du lundi au vendredi de 14h à 18h. Fermé en août et pendant les vacances scolaires.;"<p><strong>La Maison de l'International de Grenoble est un équipement municipal ouvert sur l'international qui répond à un double objectif :</strong></p> <ul> <li>Informer les Grenoblois sur les projets et mis en œuvre par la Ville de Grenoble dans le domaine de l'action internationale;</li> <li>Offrir un ensemble de services à destination des étrangers arrivant et des Grenoblois en partance à l'étranger, et donner également aux citoyens la possibilité de s'impliquer dans les activités internationales de la Ville.</li> </ul> <p><strong>Vous y trouverez un espace d'information et de documentation </strong></p> <ul> <li>Renseignements sur <a id=\7515\ href=\#\ title=\Répertoire des associations internationales de l'agglomération grenobloise\ ancre=\\ typelien=\LienDocument\ libelle_ancre=\\>les associations internationales présentes à Grenoble</a>, les Consulats, <a id=\6549\ href=\#\ title=\2011/2012 - Cours de langues étrangères dans l'agglomération grenobloise\ typelien=\LienDocument\>les organismes proposant des cours de langues</a>.</li> <li>Sélection de revues internationales, en complémentarité avec l'offre de la Bibliothèque Municipale Internationale (BMI). Sont consultables les titres suivants : the Economist, the New Yorker, Die Zeit, Tiempo, Panorama, Espresso ainsi que Courrier international, le Monde diplomatique.</li> <li>Information sur les dispositifs de mobilité (stages, emploi, volontariat, chantiers de jeunes, solidarité internationale) en complémentarité avec les autres organismes présents à Grenoble.</li> <li>Point d'information de l'office franco-allemand pour la jeunesse (OFAJ).</li> <li>La base Kompass Monde qui répertorie plus de 2 millions d'entreprises présente dans 64 pays. Cette base consultable sur place uniquement peut vous être utile pour la rédaction de candidatures spontanées, la recherche de stages et d'emplois à Grenoble et à l'étranger, notamment dans le domaine de l'import-export.</li> <li>Base de données de sites internet de réference dans le domaine de la mobilité à l'international (partir à l'international, arriver à Grenoble, l'international à Grenoble, les ressources).</li> </ul> <p><strong>Un centre d'information <a id=\101\ href=\#\ title=\Europe \ typelien=\LienInterne\ libelle_ancre=\undefined\>Europe Direct</a></strong></p> <ul> <li>Ce dernier a vocation à informer les citoyens sur l'Union européenne, ses institutions et son fonctionnement, afin de mieux les associer à la construction européenne.</li> <li>Il met à disposition du grand public des informations sur la législation, les politiques et les programmes de financement de l'Union Européenne et représente un espace conseil pour le montage de projets et la recherche de partenaires.</li> </ul> <p><strong>Un espace d'expositions</strong></p> <ul> <li>Conférences et expositions sont généralement organisées en partenariat, toujours sur des thématiques internationales.</li> <li>Manifestations en cours : lien en haut de page et dans la page actualités</li> </ul> <p><strong>Un pôle de communication</strong></p> <ul> <li>Il fait connaître aux Grenoblois les projets réalisés par la Direction des Relations internationales dans le cadre des  18 jumelages et accords de coopération décentralisée de la Ville de Grenoble.</li> </ul> <p><strong>Un American Corner</strong></p> <ul> <li>Lieu d'information et de ressources à destinations des jeunes (étudiants , jeunes chercheurs, jeunes en mobilité) dans des domaines pratiques (offres et conditions d'études aux USA, conditions d'entrée et de résidence, les accords de coopération/ les échanges/ les organismes facilitateurs, le monde du travail aux USA, les jobs d'été / summer camps) et culturels (pas d'information touristique mais une documentation sur la connaissance des US dans divers domaines : économie / culture/ science/ \american way of life\)</li> <li>Accueille des évènements pour faire connaître les USA  : organisation d'expositions, conférences/débats (US speaker programs) sur la société et laculture américaine.</li> </ul> <p><strong><br></strong></p>";
53;Poste Stalingrad;48 Rue de Stalingrad;;Institutions et Services Publics;Postes;10474;04 76 12 94 40;;;;
2008;Berlioz Bureau 1 ;6 Rue Hector Berlioz;;Institutions et Services Publics;Bureaux de vote;3529;;;8h - 20h;;
95;Bibliothèque Abbaye-Les-Bains;1 Rue de la Bajatière;www.bm-grenoble.fr;Culture;Bibliothèques;11534;04 76 03 71 83;bm.abbaye@bm-grenoble.fr;Mardi : 15h-19h Mercredi : 10h-12h et 14h-18h Vendredi : 15h-19h Samedi : 10h-12h30 et 14h-17h Vacances scolaires   Mardi : 15h-19h Mercredi : 10h-12h et 14h-18h Vendredi : 15h-19h Samedi : 10h-12h30 Fermée le samedi de Pâques;<p>Les collections</p> <ul> <li><strong class=\encadrefondor\>Romans </strong></li> <li><strong class=\encadrefondor\>Documentaire </strong></li> <li><strong class=\encadrefondor\>Bandes dessinées </strong></li> <li><strong class=\encadrefondor\>Presse et revues</strong></li> <li><strong class=\encadrefondor\>CD</strong></li> <li><strong class=\encadrefondor\>Livres en gros caractères</strong></li> <li> <p><strong>Livres audio adulte et jeunesse</strong></p> </li> </ul> <h4>Les points forts</h4> <p><span class=\puceBleueMini\><strong>6 </strong>postes Internet <br></span><span class=\puceBleueMini\><strong>1</strong> imprimante <br></span><span class=\puceBleueMini\><strong>1</strong> poste d'écoute de musique <br></span><span class=\puceBleueMini\><strong>1</strong> espace d'apprentissage de langues avec consultation de cédéroms (la cabine)<br></span><span class=\puceBleueMini\><strong>53 </strong>places assises</span></p> <p><strong>Les rendez-vous réguliers</strong> </p> <ul> <li>Accueil de groupes d'enfants et d'adultes sur rendez-vous</li> <li>Club lecture : un mardi par mois de 10h à 12h, un jeudi par mois de 15h à 17h</li> <li>Heure du conte un mercredi par mois à 10h30</li> </ul> <p class=\encadrefondbleu\>Bus : ligne 13, arrêt Les Bains</p>;
2001;Alphonse Daudet Bureau 1 à 2;19 Rue Amable Matussière;;Institutions et Services Publics;Bureaux de vote;5243;;;8h - 20h;;
146;Parking relais Esplanade;70 Route de Lyon;;Déplacement et Stationnement;Parkings;7028;;;;<p>200 places. Bus Ligne 3 et 33 (Arrêt Petite Esplanade). Pour 1,50 € , vous stationnez votre véhicule et tous les passagers (jusqu'à 5 personnes) bénéficient d'un aller-retour en centre-ville.</p>;
2018;Berthe de Boissieux Bureau 1 à 5;8 Rue Berthe de Boissieux;;Institutions et Services Publics;Bureaux de vote;12008;;;8h - 20h;;
51;Poste Principale Chavant;7 Boulevard Maréchal Lyautey;;Institutions et Services Publics;Postes;7496;04 76 43 51 39;;;;
308;Lycée Charmilles;71 Rue de Stalingrad;www.ac-grenoble.fr/lycee/charmilles/;Education;Enseignement secondaire privé;10494;04 76 87 72 64;;;;
1371;Ecole primaire Les Charmilles;71 Rue de Stalingrad;www.les-charmilles.fr;Education;Ecoles primaires privées;10494;04 76 87 72 64;;;;
767;Square de Clémencières;2 Route de Clémencières;;Espaces verts et nature;Squares;1212;;;;;
771;Tribunal des Prud'hommes;14 Boulevard Édouard Rey;;Institutions et Services Publics;Justice;2107;;;;;
275;Ecole maternelle Libération;205 Cours de la Libération et du Général de Gaulle;;Education;Ecoles maternelles;6495;;;;;
1001;Square Albert Recoura;6 Rue Albert Recoura;;Espaces verts et nature;Squares;1461;;;;;
212;Ecole primaire Clémenceau;5 Rue Roger Louis Lachat;www.ac-grenoble.fr/ecole/grenoble.clemenceau/;Education;Ecoles élémentaires;9902;04 76 54 42 59;;;;
1445;Terrain mini foot Dodero;14 Rue Maurice Dodero;;Sports et Loisirs;Terrains multisport de plein air;7839;04 76 23 48 00;antonio.gallego@ville-grenoble.fr;Accés libre.;;
880;Cuisine centrale municipale;57 Rue Général Mangin;;Institutions et Services Publics;Services municipaux;13945;;;;;
822;Association des Centres de Loisirs;11 Avenue Jean Perrot;www.acl-grenoble.org/;Sports et Loisirs;Equipements socioculturels;5147;;secretariat@acl-grenoble.org;;<p>L'Association des Centres de Loisirs a pour vocation d'organiser, de développer et de gérer des actions de loisirs éducatifs en faveur de l'enfance et de l'adolescence.</p> <p>Accès : Tram A arrêt Albert 1er de Belgique, bus lignes 31 et 34 arrêt Driand</p>;
851;Square Villebois;9 Chemin Villebois;;Espaces verts et nature;Squares;11298;;;;;
43;Poste Championnet;1 Rue de Turenne;;Institutions et Services Publics;Postes;10979;04 76 47 07 36;;;;
41;Poste Bajatière;15 Rue Albert Recoura;;Institutions et Services Publics;Postes;1464;04 38 42 15 70;;;;
844;Terrain de boules Léon Jouhaux;80 Rue Léon Jouhaux;;Sports et Loisirs;Terrains de boules;6335;04 76 23 48 00;;;<p>Terrain en sablé, planches de bois en protection autour du terrain, dimensions : 15m x 20m.</p>;
432;Centre de jour Les Alpins;2 Rue Lieutenant Chabal;;Santé / Personnes âgées;Espaces seniors / Centres de santé;6652;04 76 23 11 16;;;Equipement développant des activités thérapeutiques. Accueil de jour des personnes âgées souffrant de la maladie d'Alzheimer ou de troubles apparentés.;
448;EHPA Les Alpins;2 Rue Lieutenant Chabal;;Personnes âgées;Logements collectifs seniors;6652;04 76 09 35 60;lfpa.les-alpins@ccas-grenoble.fr;;<p>Equipement géré par le CCAS. L'admission se fait principalement au bénéfice des personnes capables de vivre de façon indépendante.</p>;
1428;Terrain multisports Beauvert;57 Rue Francis Jammes;;Sports et Loisirs;Terrains multisport de plein air;13632;04 76 23 48 00;antonio.gallego@ville-grenoble.fr;Accés libre.;<p>Terrain de basket et mini terrain de foot</p>;
805;Salle polyvalente Christian Gali;16 Chemin du Couvent;;Culture;Salles polyvalentes;4121;;;;;
422;Résidence Jules Vallès;82 Avenue Jules Vallès;www.sonacotra.fr;Solidarité;Hébergement d'urgence;5731;04 76 44 32 51;;;Les foyers Sonacotra disposent d’une capacité d’accueil importante sur la ville. Ce sont des structures collectives qui répondent aux besoins de tous types de demandeurs.;
326;Lycée Louise Michel;30 Rue Louise Michel;www.ac-grenoble.fr/lycee/louise.michel/;Education;Enseignement secondaire public;6892;04 38 12 36 00;;;Enseignement général et technologique.;
1963;Salle Stendhal;5 Rue Hauquelin;;Culture;Théâtres et salles de spectacle;3494;;;;;
1004;Square Capitaine Camine;76 Cours de la Libération et du Général de Gaulle;;Espaces verts et nature;Squares;6639;;;;;
1384;Parking relais Vallier-Catane;60 Rue Ampère;www.semitag.com;Déplacement et Stationnement;Parkings;12106;;;Le parking est ouvert de 7h à 20h.;<p>Pour 2,50 € seulement, vous bénéficiez d’une place de parking et d’un titre de transport aller-retour dans la journée, en tram ou en bus pour vous et vos passagers dans la limite de 5 personnes par véhicule. Le Parking Relais Vallier - Catane est gratuit pour les détenteurs d’un abonnement TAG mensuel ou annuel. Le parking offre 490 places de stationnement et 10 places vélos.</p>;
553;La Cordée;47 Galerie de l'Arlequin;;Sports et Loisirs;Equipements socioculturels;9629;04 76 09 37 60;associationlacordee@cordee.asso.fr;Informations / Inscriptions : du lundi au jeudi de 16h30 à 18h30 et le mercredi matin de 8h30 à 12h;<p>L'association d'éducation populaire La Cordée accueille les enfants de 3 à 18 ans pour des activités et des animations à la journée le mercredi de 8h à 18h et des ateliers péri-scolaires du lundi au vendredi de 16h30 à 18h, dans le cadre du Projet Éducatif de la Ville de Grenoble. Un accueil jeunes est également proposé le samedi de 14h à 18h. (Cette structure remplace la maison des enfants Villeneuve et la MJC Villeneuve).</p> <p><a id=\11620\ href=\#\ title=\\ ancre=\\ typelien=\LienDocument\ libelle_ancre=\\><span class=\puceBleue\> </span>Consulter le programme</a></p> <p>Accès : Tram A arrêt La Bruyère</p>;
1456;Bibliothèque des Relais Lecture;130 Avenue d'Innsbruck;www.bm-grenoble.fr;Culture;Bibliothèques;3846;04 38 70 05 72;bm.relais@bm-grenoble.fr;Accueil sur rendez-vous : lundi de 14h-17h  Du mardi au vendredi : 9h-18h;"<p>Service proposé à toutes les structures collectives grenobloises : établissements scolaires, équipements petite enfance, centres de loisirs, colonies, centres de formation, lieux d'accueil, foyers, comités d'entreprise, associations diverses.</p> <ul> <li>Prêt de livres et revues pour adultes et enfants, livres audio, livres en gros caractères, CD<br>- par lots, jusqu'à 200 documents, à choisir en magasins ;<br>- par bibliobus, pour les collectivités bénéficiant d'un passage du bibliobus.</li> <li>Aide à la constitution de points-lecture dans les collectivités.</li> <li>Actions d'information sur la lecture en direction des relais (éducateurs, formateurs, moniteurs, responsables d'associations).</li> <li>Action culturelle : projets d'animation à construire en partenariat (clubs lecture, rencontres, contes...). </li> </ul> <p><em>La Bibliothèque des Relais lecture assure également la gestion et le fonctionnement de la bibliothèque de la Maison d'arrêt de Varces.</em></p> <p><strong>Service de prêt à domicile<br></strong>Les personnes à mobilité réduite (personnes âgées, malades ou handicapées) peuvent bénéficier gratuitement de portages réguliers de livres et CD à leur domicile. Choix personnalisé de documents.<br><br><strong>Adresse postale :</strong><br>202 Grand'Place 38100 Grenoble</p>";
441;Espace Personnes Agées Malherbe;4 BIS Rue Ninon Vallin;;Personnes âgées;Espaces seniors;8601;04 76 25 49 93;fr.malherbe@ccas-grenoble.fr;;Lieu de rencontre et d'expression oeuvrant en collaboration avec les clubs de retraités, des unions de quartier et d'autres associations ou services socio-culturels.;
357;Parc Albert Michallon;7 Rue Massena;;Espaces verts et nature;Parcs et Jardins;7765;;;;<p><strong>Né au 16<sup>ème</sup> siècle, le parc est installé à l'emplacement de l'ancien couvent des cordeliers (13<sup>e</sup> siècle). Il compose au cœur du centre ville un parcours onirique et merveilleux pour les amateurs d'art et de nature à l'abri d'un parc coupé comme par magie de la frénésie environnante. Espace boisé classé.</strong></p> <p>Unique en Europe, le Parc de Sculptures Albert Michallon, est un prolongement naturel des salles du Musée de peinture, ponctué d'une vingtaine d'œuvres qui rythment cet espace clos de 16 000 m² magnifiquement planté de grands arbres et d'essences rares, en bordure des fortifications datant de 1870. Grands bronzes du début du 20<sup>ème</sup> siècle, dépôt du Fonds National d'Art Contemporain et du Musée d'Art Moderne. Certaines sculptures ont été spécialement réalisées pour le parc. De nuit, mise en lumière des plus belles essences du parc.</p> <p><strong>Arbres remarquables<br></strong>Hêtre pleureur, Magnolias, ensemble de pins, un Séquoia sempervirens.<br>Un Cèdre du Liban (Cédrus libani) visible en bordure du parc, côté Isère, est âgé de 150 ans, il est l'un des plus vieux arbres de Grenoble.<br>Un arbre à mouchoirs (Davidia involucrata) de véritable \kleenex\ accrochés à ses branches, floraison fin avril début mai.<br>Un des six Ginkgo biloba est également classé remarquable, un siècle d'existence, 25 mètres de hauteur pour 3,3 mètres de circonférence, situé en bordure du parc, côté Isère. </p> <p><strong>Éléments remarquables<br></strong>La tour de l'Isle, ouvrage du Moyen Age,<br>Les douves,<br>Les arcades des anciens murs de fortifications,<br>L'échauguette vestige de l'enceinte construite par Lesdiguières à la fin du 16<sup>ème</sup> siècle</p> <p><strong>Jeux  et animation<br></strong>Jeux à ressort</p> <p> </p> <p> </p>;
47;Poste Gambetta;12 Avenue Alsace Lorraine;;Institutions et Services Publics;Postes;4838;;;;;
1076;Maison des Habitants Capuche;58 Rue de Stalingrad;;Institutions et Services Publics;Services municipaux;10482;04 76 87 80 74;mdh.secteur4@grenoble.fr;Lundi au Vendredi : 8h30-12h / 13h30-17h30 Jeudi : 8h30-12h / 16h-17h30 Dépôt des dossiers de carte d'identité et de passeport de 8h30 à 11h30 et de 13h30 à 17h. Le jeudi de 16h à 17h.;<p><strong>PUBLIC ACCUEILLI</strong> : Tous publics</p> <p><strong>SERVICES ET ACTIVITÉS PROPOSÉS</strong><br><br><strong>Accès aux droits / Prestations sociales</strong></p> <ul> <li>Service Social Personnes Agées (SSPA)</li> <li>Permanences juridiques</li> <li>Conciliateur de justice</li> <li>Permanence écrivain public</li> <li>Permanence plateforme d'inclusion financière</li> <li>Tarification solidaire TAG</li> <li>Action socio linguistique</li> <li>Permanence Référentes Familles</li> <li>Dispositif avant' âge</li> <li>Permanence des CESF du Pôle Inclusion Financière</li> </ul> <p><strong>Enfance / Familles</strong></p> <ul> <li>Accompagnement à la scolarité</li> <li>Programme Malin</li> <li>Accompagnement et Aides aux vacances</li> <li>Sorties familles</li> <li>Permanence RAM</li> </ul> <p><strong>Développement social / Activités</strong></p> <ul> <li>Paniers solidaires (fruits et légumes et épicerie)</li> <li>Pass culture</li> <li>Réseau d'Echanges Réciproques de Savoirs</li> <li>Atelier apprentissage du français</li> <li>P'tits dèj</li> <li>Atelier couture</li> <li>Jardin collectif (à venir)</li> <li>Atelier apprentissage du français</li> <li>Atelier informatique</li> <li>Marche active</li> <li>Pôle d'Animation Gérontologique et Intergénérationnel</li> </ul> <p><strong>Démarches administratives</strong></p> <ul> <li>Cartes Nationales d'Identité</li> <li>Passeport</li> <li>Etat Civil</li> <li>Elections</li> <li>Autres formalités administratives</li> </ul> <p><strong>Autres</strong></p> <ul> <li>Prêt de salles</li> <li>Cadre de vie (prêt de clés de barrières d'accès aux espaces publics, veille espaces publics, maintenance équipements municipaux ... )</li> </ul> <p><strong>ASSOCIATIONS HEBERGEES</strong><br>Association l'âge d'or (initiation à Internet pour les seniors)<br>Cuisine amitié</p>;
663;Siège social de la CPAM;2 Rue des Alliés;www.ameli.fr;Solidarité;Administrations sociales;4514;36 46;;8h-16h du lundi au vendredi;<p>Pour gérer vos remboursements en temps réel, télécharger une attestation de droits ou d’indemnités journalières et communiquer par e mail avec votre caisse, ouvrez votre compte ameli en ligne.<br> </p>;
942;Collège Aimé Césaire;2 Rue Aimé Césaire;;Education;Enseignement secondaire public;15405;04 76 96 16 84;ce.0383370g@ac-grenoble.fr;;Enseignement général et technologique.;
793;Square Docteur Vallois;16 Rue Montorge;;Espaces verts et nature;Squares;8223;;;;;
899;Terrain mini foot/hand Parc Soulage;2 Chemin du Chapitre;;Sports et Loisirs;Terrains multisport de plein air;972;04 76 23 48 00;antonio.gallego@ville-grenoble.fr;Accés libre.;<p>Mini terrain de foot, terrain de hand ball.</p>;
790;Résidence Etudiante du Rabot;11 Rue Maurice Gignoux;www.crous-grenoble.fr/;Education;Services éducatifs;7859;;;;;
362;Parc des Champs Elysées (Bachelard);59 Rue Albert Reynier;;Espaces verts et nature;Parcs et Jardins;4109;;;;<p>Aire de jeux. Bassin, fontaine et plan d'eau. Arbres remarquables.<br><span>En juin dernier, </span><span>le parc des Champs-Élysées a obtenu le label national Écojardin,</span><span> décerné par lagence Natureparif pour récompenser lensemble des pratiques de gestion durable menées par ses jardiniers : absence de produits phytosanitaires depuis 2009, compostage ou broyage sur place de 100 % des </span><span>déchets verts, présence dune mare et de ruches, recensement de la faune</span> <span>À améliorer cependant : leau du bassin déversée dans le Drac sans traitement devrait servir à larrosage.</span></p>;
579;Stade Bachelard;59 Rue Albert Reynier;;Sports et Loisirs;Stades;4109;04 76 96 19 78;;8h–22h.;<p>Accès handicapés, terrain de foot, rugby, handball, basketball, piste d'athlétisme,parcours de cross, bloc sanitaire, tribunes, local presse écrite, local de sonorisation.</p>;
840;Résidence étudiante la Houille Blanche;2 Avenue des Jeux Olympiques;www.rhbgrenoble.com/;Education;Services éducatifs;5364;04 76 54 56 01;residence@rhbgrenoble.com;;<p>Les étudiants du groupe Grenoble INP ont à leur disposition une résidence réservée, gérée par une association indépendante. La Houille Blanche de Grenoble accueille 600 élèves-ingénieurs en chambre simple, double ou studio, meublés et équipés. La résidence offre également de nombreux services.</p>;
369;Parc Soulage;19 Chemin du Chapitre;;Espaces verts et nature;Parcs et Jardins;966;;;;Aire de jeux.;
832;Direction Départementale de la Cohésion Sociale (Site Verlaine);11 Avenue Paul Verlaine;;Solidarité;Administrations sociales;8939;04 76 33 73 73;;;Pôles vie associative, jeunesse, sports et métiers, réglementation du sport.;
503;Centre de planification familiale Antenne Teisseire;110 Avenue Jean Perrot;;Santé;Centres de santé;5159;04 76 25 49 63;;Prendre rendez-vous aux horaires suivants: lundi, mardi, mercredi, vendredi de 8h45 à 12h15 et de 14h à 17h30, jeudi de 8h45 à 12h15 et de 16h30 à 17h30.;Consultations gynécologiques par un médecin les lundi et mercredi après midi sur rendez vous pris à l'accueil du centre social. Entretiens gratuits et confidentiels  avec une conseillère conjugale les lundi et vendredi après midi sur rendez vous pris à l'accueil du centre social. Les consultations gynécologiques sont gratuites pour les mineurs et non assurés sociaux.;
